ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion
76,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,90%
77,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,100%
78,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,110%
79,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,90%
80,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,100%
81,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,110%
82,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,90%
83,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,100%
84,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,110%
85,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,90%
86,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,100%
87,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,110%
88,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,90%
89,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,100%
90,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,110%
91,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,90%
92,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,100%
93,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,110%
94,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,90%
95,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,100%
96,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,110%
97,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,90%
98,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,100%
99,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,110%
100,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,90%
101,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,100%
102,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,110%
103,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,90%
104,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,100%
105,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,110%
106,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,90%
