ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion
5625,powder,YOLOv8 Nano + Sam,True,True,3,Random,15%,100%,110%
5626,powder,YOLOv8 Nano + Sam,True,True,3,Random,15%,110%,90%
5627,powder,YOLOv8 Nano + Sam,True,True,3,Random,15%,110%,100%
5628,powder,YOLOv8 Nano + Sam,True,True,3,Random,15%,110%,110%
5629,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,90%,90%
5630,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,90%,100%
5631,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,90%,110%
5632,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,100%,90%
5633,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,100%,100%
5634,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,100%,110%
5635,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,110%,90%
5636,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,110%,100%
5637,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,0%,110%,110%
5638,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,90%,90%
5639,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,90%,100%
5640,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,90%,110%
5641,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,100%,90%
5642,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,100%,100%
5643,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,100%,110%
5644,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,110%,90%
5645,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,110%,100%
5646,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,5%,110%,110%
5647,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,90%,90%
5648,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,90%,100%
5649,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,90%,110%
5650,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,100%,90%
5651,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,100%,100%
5652,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,100%,110%
5653,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,110%,90%
5654,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,110%,100%
5655,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,10%,110%,110%
5656,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,90%,90%
5657,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,90%,100%
5658,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,90%,110%
5659,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,100%,90%
5660,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,100%,100%
5661,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,100%,110%
5662,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,110%,90%
5663,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,110%,100%
5664,powder,YOLOv8 Nano + Sam,True,True,3,Distance Max,15%,110%,110%
5665,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,90%,90%
5666,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,90%,100%
5667,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,90%,110%
5668,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,100%,90%
5669,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,100%,100%
5670,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,100%,110%
5671,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,110%,90%
5672,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,110%,100%
5673,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,0%,110%,110%
5674,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,90%,90%
5675,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,90%,100%
5676,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,90%,110%
5677,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,100%,90%
5678,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,100%,100%
5679,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,100%,110%
5680,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,110%,90%
5681,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,110%,100%
5682,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,5%,110%,110%
5683,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,90%,90%
5684,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,90%,100%
5685,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,90%,110%
5686,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,100%,90%
5687,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,100%,100%
5688,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,100%,110%
5689,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,110%,90%
5690,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,110%,100%
5691,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,10%,110%,110%
5692,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,90%,90%
5693,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,90%,100%
5694,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,90%,110%
5695,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,100%,90%
5696,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,100%,100%
5697,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,100%,110%
5698,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,110%,90%
5699,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,110%,100%
5700,powder,YOLOv8 Nano + Sam,True,True,3,Voronoi,15%,110%,110%
5701,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,90%,90%
5702,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,90%,100%
5703,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,90%,110%
5704,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,100%,90%
5705,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,100%,100%
5706,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,100%,110%
5707,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,110%,90%
5708,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,110%,100%
5709,powder,YOLOv8 Nano + Sam,True,True,4,Random,0%,110%,110%
5710,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,90%,90%
5711,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,90%,100%
5712,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,90%,110%
5713,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,100%,90%
5714,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,100%,100%
5715,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,100%,110%
5716,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,110%,90%
5717,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,110%,100%
5718,powder,YOLOv8 Nano + Sam,True,True,4,Random,5%,110%,110%
5719,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,90%,90%
5720,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,90%,100%
5721,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,90%,110%
5722,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,100%,90%
5723,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,100%,100%
5724,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,100%,110%
5725,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,110%,90%
5726,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,110%,100%
5727,powder,YOLOv8 Nano + Sam,True,True,4,Random,10%,110%,110%
5728,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,90%,90%
5729,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,90%,100%
5730,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,90%,110%
5731,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,100%,90%
5732,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,100%,100%
5733,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,100%,110%
5734,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,110%,90%
5735,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,110%,100%
5736,powder,YOLOv8 Nano + Sam,True,True,4,Random,15%,110%,110%
5737,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,90%,90%
5738,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,90%,100%
5739,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,90%,110%
5740,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,100%,90%
5741,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,100%,100%
5742,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,100%,110%
5743,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,110%,90%
5744,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,110%,100%
5745,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,0%,110%,110%
5746,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,90%,90%
5747,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,90%,100%
5748,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,90%,110%
5749,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,100%,90%
5750,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,100%,100%
5751,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,100%,110%
5752,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,110%,90%
5753,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,110%,100%
5754,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,5%,110%,110%
5755,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,90%,90%
5756,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,90%,100%
5757,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,90%,110%
5758,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,100%,90%
5759,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,100%,100%
5760,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,100%,110%
5761,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,110%,90%
5762,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,110%,100%
5763,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,10%,110%,110%
5764,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,90%,90%
5765,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,90%,100%
5766,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,90%,110%
5767,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,100%,90%
5768,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,100%,100%
5769,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,100%,110%
5770,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,110%,90%
5771,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,110%,100%
5772,powder,YOLOv8 Nano + Sam,True,True,4,Distance Max,15%,110%,110%
5773,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,90%,90%
5774,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,90%,100%
5775,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,90%,110%
5776,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,100%,90%
5777,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,100%,100%
5778,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,100%,110%
5779,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,110%,90%
5780,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,110%,100%
5781,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,0%,110%,110%
5782,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,90%,90%
5783,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,90%,100%
5784,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,90%,110%
5785,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,100%,90%
5786,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,100%,100%
5787,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,100%,110%
5788,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,110%,90%
5789,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,110%,100%
5790,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,5%,110%,110%
5791,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,90%,90%
5792,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,90%,100%
5793,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,90%,110%
5794,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,100%,90%
5795,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,100%,100%
5796,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,100%,110%
5797,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,110%,90%
5798,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,110%,100%
5799,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,10%,110%,110%
5800,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,90%,90%
5801,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,90%,100%
5802,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,90%,110%
5803,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,100%,90%
5804,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,100%,100%
5805,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,100%,110%
5806,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,110%,90%
5807,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,110%,100%
5808,powder,YOLOv8 Nano + Sam,True,True,4,Voronoi,15%,110%,110%
5809,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,90%,90%
5810,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,90%,100%
5811,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,90%,110%
5812,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,100%,90%
5813,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,100%,100%
5814,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,100%,110%
5815,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,110%,90%
5816,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,110%,100%
5817,powder,YOLOv8 Nano + Sam,True,True,5,Random,0%,110%,110%
5818,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,90%,90%
5819,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,90%,100%
5820,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,90%,110%
5821,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,100%,90%
5822,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,100%,100%
5823,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,100%,110%
5824,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,110%,90%
5825,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,110%,100%
5826,powder,YOLOv8 Nano + Sam,True,True,5,Random,5%,110%,110%
5827,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,90%,90%
5828,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,90%,100%
5829,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,90%,110%
5830,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,100%,90%
5831,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,100%,100%
5832,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,100%,110%
5833,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,110%,90%
5834,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,110%,100%
5835,powder,YOLOv8 Nano + Sam,True,True,5,Random,10%,110%,110%
5836,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,90%,90%
5837,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,90%,100%
5838,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,90%,110%
5839,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,100%,90%
5840,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,100%,100%
5841,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,100%,110%
5842,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,110%,90%
5843,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,110%,100%
5844,powder,YOLOv8 Nano + Sam,True,True,5,Random,15%,110%,110%
5845,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,90%,90%
5846,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,90%,100%
5847,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,90%,110%
5848,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,100%,90%
5849,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,100%,100%
5850,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,100%,110%
5851,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,110%,90%
5852,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,110%,100%
5853,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,0%,110%,110%
5854,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,90%,90%
5855,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,90%,100%
5856,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,90%,110%
5857,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,100%,90%
5858,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,100%,100%
5859,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,100%,110%
5860,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,110%,90%
5861,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,110%,100%
5862,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,5%,110%,110%
5863,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,90%,90%
5864,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,90%,100%
5865,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,90%,110%
5866,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,100%,90%
5867,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,100%,100%
5868,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,100%,110%
5869,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,110%,90%
5870,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,110%,100%
5871,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,10%,110%,110%
5872,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,90%,90%
5873,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,90%,100%
5874,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,90%,110%
5875,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,100%,90%
5876,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,100%,100%
5877,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,100%,110%
5878,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,110%,90%
5879,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,110%,100%
5880,powder,YOLOv8 Nano + Sam,True,True,5,Distance Max,15%,110%,110%
5881,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,90%,90%
5882,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,90%,100%
5883,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,90%,110%
5884,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,100%,90%
5885,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,100%,100%
5886,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,100%,110%
5887,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,110%,90%
5888,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,110%,100%
5889,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,0%,110%,110%
5890,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,90%,90%
5891,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,90%,100%
5892,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,90%,110%
5893,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,100%,90%
5894,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,100%,100%
5895,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,100%,110%
5896,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,110%,90%
5897,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,110%,100%
5898,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,5%,110%,110%
5899,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,90%,90%
5900,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,90%,100%
5901,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,90%,110%
5902,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,100%,90%
5903,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,100%,100%
5904,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,100%,110%
5905,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,110%,90%
5906,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,110%,100%
5907,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,10%,110%,110%
5908,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,90%,90%
5909,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,90%,100%
5910,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,90%,110%
5911,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,100%,90%
5912,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,100%,100%
5913,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,100%,110%
5914,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,110%,90%
5915,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,110%,100%
5916,powder,YOLOv8 Nano + Sam,True,True,5,Voronoi,15%,110%,110%
5917,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,90%,90%
5918,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,90%,100%
5919,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,90%,110%
5920,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,100%,90%
5921,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,100%,100%
5922,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,100%,110%
5923,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,110%,90%
5924,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,110%,100%
5925,powder,YOLOv8 Nano + Sam,True,True,6,Random,0%,110%,110%
5926,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,90%,90%
5927,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,90%,100%
5928,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,90%,110%
5929,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,100%,90%
5930,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,100%,100%
5931,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,100%,110%
5932,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,110%,90%
5933,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,110%,100%
5934,powder,YOLOv8 Nano + Sam,True,True,6,Random,5%,110%,110%
5935,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,90%,90%
5936,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,90%,100%
5937,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,90%,110%
5938,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,100%,90%
5939,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,100%,100%
5940,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,100%,110%
5941,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,110%,90%
5942,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,110%,100%
5943,powder,YOLOv8 Nano + Sam,True,True,6,Random,10%,110%,110%
5944,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,90%,90%
5945,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,90%,100%
5946,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,90%,110%
5947,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,100%,90%
5948,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,100%,100%
5949,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,100%,110%
5950,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,110%,90%
5951,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,110%,100%
5952,powder,YOLOv8 Nano + Sam,True,True,6,Random,15%,110%,110%
5953,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,90%,90%
5954,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,90%,100%
5955,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,90%,110%
5956,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,100%,90%
5957,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,100%,100%
5958,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,100%,110%
5959,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,110%,90%
5960,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,110%,100%
5961,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,0%,110%,110%
5962,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,5%,90%,90%
5963,powder,YOLOv8 Nano + Sam,True,True,6,Distance Max,5%,90%,100%
