ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,avg_sam_mask_AP_50_95
62,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,100%,0.6716447577761325
63,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,110%,0.6716447577761325
64,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,90%,0.7024173778597474
65,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,100%,0.6912064837901704
66,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,110%,0.698276735116685
67,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,90%,0.6855323139906816
68,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,100%,0.6855323139906816
69,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,110%,0.6895203111168297
70,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,90%,0.6712688230951873
71,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,100%,0.6712688230951873
72,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,110%,0.6751383260533456
73,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,90%,0.7011826796744116
74,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,100%,0.6865338877732454
75,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,110%,0.6966053396783748
76,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,90%,0.6858062346238317
77,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,100%,0.6856335243160461
78,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,110%,0.6862739667029569
79,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,90%,0.6660600025988012
80,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,100%,0.6706435303741425
81,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,110%,0.6703804460397129
82,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,90%,0.6967141521161158
83,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,100%,0.6981856517891796
84,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,110%,0.6971768551053477
85,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,90%,0.6855846333528904
86,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,100%,0.6860138939023842
87,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,110%,0.6883871269392341
88,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,90%,0.6732607051283648
89,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,100%,0.6722004276740567
90,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,110%,0.6733455308289981
91,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,90%,0.6989668595390837
92,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,100%,0.6989423558756556
93,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,110%,0.6987050624985485
94,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,90%,0.6849222898081886
95,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,100%,0.6850354286222482
96,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,110%,0.6859522163999665
97,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,90%,0.6703808590982029
98,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,100%,0.6701652324124399
99,powder,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,110%,0.6704986585912736
100,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,90%,0.6988032132616233
101,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,100%,0.6981666551472806
102,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,110%,0.6977546475916978
103,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,90%,0.6839452535392825
104,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,100%,0.6860737175855932
105,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,110%,0.6872218171218946
106,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,90%,0.6703073927079499
107,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,100%,0.6702760358188068
108,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,110%,0.6697644846583306
109,powder,YOLOv8 Nano,True,True,2,Random,0%,90%,90%,0.6847137406062392
110,powder,YOLOv8 Nano,True,True,2,Random,0%,90%,100%,0.6902331888602559
111,powder,YOLOv8 Nano,True,True,2,Random,0%,90%,110%,0.6860807093813179
112,powder,YOLOv8 Nano,True,True,2,Random,0%,100%,90%,0.6729846882862522
113,powder,YOLOv8 Nano,True,True,2,Random,0%,100%,100%,0.6645671766034484
